1 Miami 1104 619
2 Charleston 1069 443
3 Raleigh 1100 366
4 Washington 1136 305
5 New_York 1137 207
6 Boston 1222 168
7 Montreal 1158 103
8 Toronto 1031 158
9 Pittsburgh 1040 249
10 Atlanta 968 429 
11 New_Orleans 805 542
12 Nashville 892 373
13 Saint_Louis 795 322
14 Chicago 868 242
15 Sault_St_Marie 868 110
16 Duluth 729 158
17 Omaha 664 248
18 Kansas_City 678 304
19 Oklahoma_City 632 389
20 Little_Rock 755 412
21 Dallas 645 482
22 Houston 685 555
23 El_Paso 402 482
24 Santa_Fe 413 392
25 Denver 446 297
26 Helena 390 127 
27 Winnipeg 595 18
28 Calgary 315 0
29 Salt_Lake_City 292 255
30 Las_Vegas 200 357
31 Phoenix 257 420
32 Los_Angeles 115 402
33 San_Francisco 38 270
34 Portland 72 87
35 Seattle 117 52
36 Vancouver 131 0
Paths
1 2 Pink 4
1 10 Blue 5
1 11 Red 6
2 10 Any 2
2 3 Any 2
3 10 Any 2
3 10 Any 2
3 12 Black 3
3 9 Any 2
3 4 Any 2
3 4 Any 2
4 9 Any 2
4 5 Orange 2 
4 5 Black 2 
5 9 White 2 
5 9 Green 2
5 7 Blue 3 
5 6 Yellow 2 
5 6 Red 2
6 7 Any 2 
6 7 Any 2 
7 15 Any 2 
7 8 Any 3 
8 15 Any 2 
8 16 Pink 6 
8 14 White 4 
8 9 Any 2 
9 14 Orange 3 
9 14 Black 3 
9 13 Green 5 
9 12 Yellow 4 
10 12 Any 1 
10 11 Yellow 4 
10 11 Orange 4 
11 22 Any 2 
11 20 Green 3 
12 20 White 3 
12 13 Any 2 
13 14 Green 2 
13 14 White 2 
13 18 Blue 2 
13 18 Pink 2 
13 20 Any 2 
14 16 Red 3 
14 17 Blue 4
15 16 Any 3 
15 27 Any 6 
16 27 Black 4 
16 26 Orange 6 
16 17 Any 2 
16 17 Any 2 
17 18 Any 1 
17 18 Any 1 
17 25 Pink 4 
17 26 Red 5 
18 25 Black 4 
18 25 Orange 4 
18 19 Any 2 
18 19 Any 2 
19 25 Red 4 
19 24 Blue 3 
19 23 Yellow 5 
19 21 Any 2
19 21 Any 2 
19 20 Any 2 
20 21 Any 2
21 22 Any 1 
21 22 Any 1 
21 23 Red 4 
22 23 Green 6 
23 32 Black 6 
23 31 Any 3 
23 24 Any 2
24 31 Any 3 
24 25 Any 2
25 31 White 5 
25 29 Yellow 3 
25 29 Red 3 
25 26 Green 4 
26 27 Blue 4 
26 28 Any 4 
26 35 Yellow 6 
26 29 Pink 3 
27 28 White 6
28 35 Any 4  
28 36 Any 3 
29 34 Blue 6 
29 33 Orange 5 
29 30 Orange 3 
30 32 Any 2 
31 32 Any 3 
32 33 Yellow 3 
32 33 Pink 3 
33 34 Green 5 
33 34 Pink 5 
34 35 Any 1 
34 35 Any 1 
35 36 Any 1 
35 36 Any 1 
Routes
1 6 12 
16 22 8 
14 24 9 
23 25 4 
5 32 21 
5 35 22 
31 34 11 
5 21 11 
32 35 9 
1 32 20 
10 33 17 
12 34 17 
22 27 12 
24 36 13 
1 8 10 
16 23 10 
7 11 13 
7 10 9 
11 14 7 
5 10 6 
20 27 11 
28 31 13 
18 22 5 
28 29 7 
26 32 8 
7 36 20
12 15 8 
14 32 16 
15 19 9 
9 25 11 
